DATE,CITY,TEMP,PRECIP,HUMIDITY
2024-09-06,NewYork,32,0,45
2024-09-07,NewYork,30,1,44
2024-09-08,NewYork,33,0,30
2024-09-09,NewYork,31,2,22
2024-09-10,NewYork,34,1,39
2024-09-11,NewYork,29,0,38
2024-09-12,NewYork,26,0,37
2024-09-13,NewYork,30,0,45
2024-09-14,NewYork,31,2,44
2024-09-15,NewYork,32,1,30
2024-09-16,NewYork,30,1,22
2024-09-17,NewYork,33,0,39
2024-09-18,NewYork,31,0,38
2024-09-19,NewYork,34,0,37
2024-09-20,NewYork,29,2,45
2024-09-21,NewYork,26,2,44
2024-09-22,NewYork,30,1,30
2024-09-23,NewYork,31,1,22
2024-09-24,NewYork,30,0,39
2024-09-25,NewYork,33,0,38
2024-09-26,NewYork,32,1,37
